terrainID,position,direction,average_power,power_group
aa3q,4,10,12.34936,0
aa1n,4,29,33.79995,0
aa3q,3,6,48.00806,0
aa3q,2,3,48.63039,0
aa1n,4,8,35.72844,0
aa1n,4,9,11.79453,0
aa1o,0,6,49.53317,0
aa1o,1,3,57.74668,0
aa3q,0,6,45.32126,0
aa3p,4,9,9.720285,0
aa1n,4,27,40.53894,0
aa3p,4,8,38.51122,0
aa3p,4,5,56.6885,0
aa1o,3,6,57.51651,0
aa1o,4,10,18.63325,0
aa3p,4,27,15.64287,0
aa3p,4,26,18.80044,0
aa3p,4,25,58.46049,0
aa3p,4,23,53.44136,0
aa1o,4,23,55.52383,0
aa1o,4,24,22.7336,0
aa1o,4,26,16.53455,0
aa1o,4,27,8.753158,0
aa1o,2,3,50.09763,0
aa3w,4,7,23.11229,0
aa1l,4,24,25.63765,0
aa1l,4,23,59.55782,0
aa3v,4,25,21.33896,0
aa3v,4,24,46.76587,0
aa1i,4,24,45.25764,0
aa1i,4,25,15.36611,0
aa1i,4,27,17.09405,0
aa1i,4,28,22.42575,0
aa3v,4,12,40.35079,0
aa3v,4,11,14.57438,0
aa3v,4,10,59.07235,0
aa3v,3,6,49.09818,0
aa1i,4,7,48.89214,0
aa1i,4,8,18.17027,0
aa3v,2,3,31.72539,0
aa3v,2,2,60.03725,0
aa3v,1,3,53.49327,0
aa1j,1,3,68.14964,0
aa3v,0,6,54.95757,0
aa3u,4,9,7.228796,0
aa3u,4,8,24.76549,0
aa3u,4,7,58.26514,0
aa1j,3,6,38.02808,0
aa1j,4,10,9.389174,0
aa1j,4,11,28.32393,0
aa3v,4,27,43.31382,0
aa3v,4,28,16.34855,0
aa3v,4,29,54.03029,0
aa1i,4,12,62.40713,0
aa1h,3,6,54.52241,0
aa1h,4,10,28.34507,0
aa3w,4,27,13.71474,0
aa3w,4,26,15.23514,0
aa3w,4,25,51.54895,0
aa3w,4,23,38.01917,0
aa1h,4,23,43.94613,0
aa1h,4,25,45.29669,0
aa1h,4,26,11.80188,0
aa1h,4,27,16.60251,0
aa3w,4,10,13.46843,0
aa3u,4,29,35.61718,0
aa1h,4,5,58.82315,0
aa1h,4,8,36.36064,0
aa1h,4,9,9.298547,0
aa3w,2,3,60.8322,0
aa3w,1,3,45.37824,0
aa1i,1,3,47.87,0
aa1i,2,3,58.86185,0
aa1i,3,6,48.37654,0
aa1i,4,10,22.83643,0
aa3v,4,9,8.033627,0
aa3v,4,8,28.1774,0
aa1i,4,11,12.29053,0
aa3w,3,6,44.70593,0
aa3s,4,23,39.20886,0
aa3u,4,28,11.65312,0
aa3u,4,25,19.01872,0
aa1k,4,22,53.72775,0
aa3t,4,11,64.27292,0
aa3t,4,10,11.27961,0
aa1k,4,25,37.13254,0
aa1k,4,26,8.286877,0
aa1k,4,27,30.71483,0
